Variable,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-1.03837472,1.13166,-0.917567557,0.358845309
School_LevelHigh,1.41007394,0.5749114,2.452680387,0.014179626
School_LevelMiddle,-0.29188447,1.137245,-0.256659265,0.79744182
School_LevelMulti-Level,15.07748042,926.6004,0.016271827,0.987017534
State_Gun_ControlLow,0.38404706,0.6315661,0.608086906,0.543129836
State_Gun_ControlMedium,2.04161834,1.375692,1.484066243,0.137791348
School_AffiliationGang Member,19.89058817,11807.88,0.001684519,0.998655949
School_AffiliationHitman,-17.56464815,17730.37,-0.000990653,0.999209573
School_AffiliationIntimate Relationship,-3.09268538,1.250791,-2.472583538,0.013414036
School_AffiliationNo Relation,1.54926865,0.7501819,2.065190527,0.038904976
School_AffiliationNonstudent,19.41586279,5855.835,0.003315644,0.997354504
School_AffiliationNonstudent Using Athletic Facilities/Attending Game,2.00352432,0.9202265,2.177207837,0.029465064
School_AffiliationOther Staff,-1.07091742,1.493759,-0.716927851,0.473418616
School_AffiliationOther Student,18.97729098,12537.26,0.001513671,0.998792266
School_AffiliationParent,-2.12167499,1.292609,-1.641388995,0.100716693
School_AffiliationPolice Officer/SRO,-18.63731364,9688.189,-0.001923715,0.998465098
School_AffiliationRelative,-0.05991721,0.9086553,-0.065940529,0.947425173
School_AffiliationRival School Student,0.22161416,1.995502,0.111056863,0.911571256
School_AffiliationSecurity Guard,19.54140926,12494.21,0.001564037,0.99875208
School_AffiliationStudent,0.66756758,0.6849355,0.974643032,0.32973736
School_AffiliationTeacher,10.42051302,7762.23,0.001342464,0.998928869
School_AffiliationUnknown,1.77868773,0.7443778,2.38949582,0.016871516
Location_TypeInside School Building,-31.05084607,1312.288,-0.023661603,0.981122534
Location_TypeOff School Property,-2.27869251,0.943706,-2.414621282,0.015751578
Location_TypeOutside on School Property,0.9008307,0.7650781,1.177436201,0.239021448
Location_TypeSchool Bus,-2.91551787,1.16102,-2.511170425,0.012033159
Weapon_TypeMultiple Handguns,0.36129093,0.8724125,0.414128559,0.678779959
Weapon_TypeMultiple Rifles,-19.54971399,7096.755,-0.00275474,0.997802038
Weapon_TypeMultiple Unknown,0.15238498,0.9438253,0.161454638,0.871735336
Weapon_TypeOther,-3.76873634,1.278646,-2.947443591,0.003204132
Weapon_TypeRifle,-1.72042268,0.5295231,-3.249004077,0.001158098
Weapon_TypeShotgun,-1.09171108,0.6839809,-1.596113448,0.110463467
Weapon_TypeUnknown,0.31624763,0.5351152,0.590989814,0.554527246
School_LevelHigh:State_Gun_ControlLow,-0.84164877,0.7374338,-1.141321111,0.25373632
School_LevelMiddle:State_Gun_ControlLow,0.40987506,1.33642,0.306696207,0.759074617
School_LevelMulti-Level:State_Gun_ControlLow,-16.41767632,926.6012,-0.017718169,0.985863687
School_LevelHigh:State_Gun_ControlMedium,-1.98671341,1.475002,-1.346922503,0.178005193
School_LevelMiddle:State_Gun_ControlMedium,-3.08004826,1.957918,-1.573124622,0.115689965
School_LevelMulti-Level:State_Gun_ControlMedium,4.32878063,8580.841,0.000504471,0.999597491
